Employing Organization,Position Location - State,Job Title,Company Industry (Specific),Industry Group (1 of 10),Job Title Description,Job Title Classified Group
Bolton-Menk,Minnesota,Transportation Graduate Engineer,Engineering - Civil,"10. Construction, Engineering & Real Estate","Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline.",Engineering
Boston Scientific,Minnesota,Controls Engineer Supervisor,Healthcare - Medical Devices,2. Healthcare & Medical,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline.",Engineering
Boston Scientific,Minnesota,Manufacturing Engineering Supervisor,Healthcare - Medical Devices,2. Healthcare & Medical,"Oversees daily operations and manages staff performance, ensuring workflows run efficiently and team targets are met.",Engineering
Braun Intertec,Wisconsin,Staff Engineer,Engineering - Geotechnical & Testing,"10. Construction, Engineering & Real Estate","Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline.",Engineering
Braun Intertec,Minnesota,Staff Scientist,Engineering - Geotechnical & Testing,"10. Construction, Engineering & Real Estate","Applies scientific methods and research techniques to investigate phenomena, interpret data, and develop evidence-based solutions.",Research & Science
CARE Counseling,Minnesota,Pre-Independently Licensed Therapist,Healthcare - Mental Health,2. Healthcare & Medical,"Provides therapeutic interventions for physical or mental health conditions, working closely with patients to improve outcomes.",Healthcare & Clinical
Central Internal Medicine Associates,Minnesota,Medical Assistant,Healthcare - Internal Medicine,2. Healthcare & Medical,"Handles administrative operations such as scheduling, correspondence, and document management to keep teams running smoothly.",Healthcare & Clinical
Chartwell Financial Advisory,Minnesota,Analyst,Financial Services - Financial Planning,3. Financial Services & Insurance,"Examines data and information to provide insights, recommendations, and support decision-making.",Finance & Accounting
Children's Minnesota,Minnesota,Mental Health Specialist,Healthcare - Pediatric Hospital,2. Healthcare & Medical,"Leverages deep subject-matter expertise to tackle specialized challenges, serving as a go-to resource within the organization.",Healthcare & Clinical
CHS,Minnesota,Finance associate,Manufacturing - Agriculture Cooperative,4. Manufacturing & Industrial,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time.",Finance & Accounting
CHS Inc.,Minnesota,Supply Planning Analyst,Manufacturing - Agriculture Cooperative,4. Manufacturing & Industrial,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions.",Operations & Supply Chain
City of Cottage Grove,Minnesota,Graduate Engineer,Government - Municipal,6. Government & Public Service,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline.",Engineering
CLA,Wisconsin,Tax Associate,Financial Services - Accounting & Advisory,3. Financial Services & Insurance,"Assists in preparing tax returns, researches tax laws, and helps clients minimize tax liabilities.",Finance & Accounting
Cleveland Browns,Ohio,Video and Content Creation Intern,Entertainment - Professional Sports,8. Retail & Consumer Products,"Provides hands-on workplace experience for students or recent graduates, blending learning with real project contributions.",Sales & Business Development
Collins Aerospace,Minnesota,Embedded Software Engineer,Manufacturing - Aerospace Systems,4. Manufacturing & Industrial,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline.",Software & IT
Collins Aerospace,Minnesota,Software Engineer,Manufacturing - Aerospace Systems,4. Manufacturing & Industrial,"Designs, develops, tests, and maintains software applications and systems.",Software & IT
Community of Peace Academy,Minnesota,Middle School Special Education Teacher,Education - Charter School,5. Education & Academia,"Instructs and mentors students, fostering academic growth and creating engaging learning experiences.",Education & Teaching
Currie and Brown,Minnesota,Data Analysis,Professional Services - Construction Consulting,7. Professional Services & Consulting,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Consulting & Advisory
Daikin Applied,Minnesota,Engineering Manager,Manufacturing - HVAC,4. Manufacturing & Industrial,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals.",Engineering
Daikin Applied,Wisconsin,,Manufacturing - HVAC,4. Manufacturing & Industrial,,Other
Daikin Applied,Minnesota,Supply Chain Analyst,Manufacturing - HVAC,4. Manufacturing & Industrial,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions.",Operations & Supply Chain
Deloitte,Minnesota,Actuarial Analyst,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,"Uses mathematics, statistics, and financial theory to study uncertain future events, especially in insurance and pension programs.",Finance & Accounting
Deloitte,Minnesota,Audit Assistance,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Finance & Accounting
Deloitte,Minnesota,Tax Consultant,Professional Services - Accounting & Consulting,7. Professional Services & Consulting,"Delivers expert guidance and tailored recommendations to clients or stakeholders, helping them navigate complex challenges.",Finance & Accounting
