Employing Organization,Position Location - State,Job Title,Company Industry (Specific),Industry Group (1 of 10),Job Title Description
Stratix Labs Corporation,Minnesota,Manufacturing Associate,Technology - Software,1. Technology & Software,"Contributes to team goals by executing core tasks within a functional discipline, building skills and growing expertise over time."
Stretch Electric,Minnesota,Master Electrician,Construction - Electrical,"10. Construction, Engineering & Real Estate",Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
United Airlines,Illinois,Revenue Management Analyst,Transportation - Airlines,7. Professional Services & Consulting,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
Stryker,Minnesota,New Product Development Project Manager,Healthcare - Medical Devices,2. Healthcare & Medical,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals."
Stryker,Wisconsin,Regulatory Affairs Specialist,Healthcare - Medical Devices,2. Healthcare & Medical,"Leverages deep subject-matter expertise to tackle specialized challenges, serving as a go-to resource within the organization."
Suite Living,Minnesota,Caregiver,Real Estate - Senior Assisted Living,"10. Construction, Engineering & Real Estate",Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
SullivanCotter,Minnesota,Analyst,Professional Services - Compensation Consulting,7. Professional Services & Consulting,"Examines data and information to provide insights, recommendations, and support decision-making."
Summit Orthopedics,Minnesota,Orthopedic Medical Assistant,Healthcare - Orthopedic Clinic,2. Healthcare & Medical,"Handles administrative operations such as scheduling, correspondence, and document management to keep teams running smoothly."
Sunset Transportation,Minnesota,Operations Support Manager,Transportation - Logistics,7. Professional Services & Consulting,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals."
Superior Choice Credit Union,Wisconsin,Teller,Financial Services - Credit Union,3. Financial Services & Insurance,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Superior Steel Supply,Minnesota,Account Manager,Manufacturing - Steel Distribution,4. Manufacturing & Industrial,"Manages client relationships, ensures customer satisfaction, and identifies growth opportunities."
Surly Brewing Co.,Minnesota,Port Captain,Hospitality - Brewery,8. Retail & Consumer Products,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Sushi Fix,Minnesota,Host/Hostess,Hospitality - Restaurant,8. Retail & Consumer Products,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
W.W. Grainger,Illinois,,Manufacturing - Industrial Distribution,4. Manufacturing & Industrial,
Talbots,Minnesota,Associate,Retail - Women's Apparel,8. Retail & Consumer Products,Entry-level professional who supports senior team members in various business functions.
Target,Minnesota,,Retail - Mass Merchandise,8. Retail & Consumer Products,
Target,Minnesota,Intern,Retail - Mass Merchandise,8. Retail & Consumer Products,"Provides hands-on workplace experience for students or recent graduates, blending learning with real project contributions."
Target,Minnesota,Project Manager,Retail - Mass Merchandise,8. Retail & Consumer Products,"Plans, executes, and closes projects, managing scope, schedule, budget, and team resources."
Target,Minnesota,Inventory Analyst,Retail - Mass Merchandise,8. Retail & Consumer Products,"Manages and optimizes inventory levels, analyzes stock data, and forecasts demand to prevent shortages or excess."
Target,Minnesota,Technical Consultant,Retail - Mass Merchandise,8. Retail & Consumer Products,"Delivers expert guidance and tailored recommendations to clients or stakeholders, helping them navigate complex challenges."
Target,Minnesota,Merchandise Specialist,Retail - Mass Merchandise,8. Retail & Consumer Products,"Leverages deep subject-matter expertise to tackle specialized challenges, serving as a go-to resource within the organization."
Target,Minnesota,Supply Chain Manager,Retail - Mass Merchandise,8. Retail & Consumer Products,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals."
Target,Minnesota,Financial Analyst,Retail - Mass Merchandise,8. Retail & Consumer Products,"Analyzes financial data, creates forecasts, and supports business decision-making through financial modeling and reporting."
Target,Minnesota,Business Partner,Retail - Mass Merchandise,8. Retail & Consumer Products,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Target,Minnesota,Inventory Analyst,Retail - Mass Merchandise,8. Retail & Consumer Products,"Manages and optimizes inventory levels, analyzes stock data, and forecasts demand to prevent shortages or excess."
Target,Minnesota,Style Consultant,Retail - Mass Merchandise,8. Retail & Consumer Products,"Delivers expert guidance and tailored recommendations to clients or stakeholders, helping them navigate complex challenges."
Target,Minnesota,Software Engineer,Retail - Mass Merchandise,8. Retail & Consumer Products,"Designs, develops, tests, and maintains software applications and systems."
Target,Minnesota,Financial Analyst,Retail - Mass Merchandise,8. Retail & Consumer Products,"Analyzes financial data, creates forecasts, and supports business decision-making through financial modeling and reporting."
Target,Minnesota,Executive Team Leader,Retail - Mass Merchandise,8. Retail & Consumer Products,"Holds strategic decision-making authority at the senior level, shaping organizational direction and driving high-impact outcomes."
Target,Minnesota,Inventory Analyst,Retail - Mass Merchandise,8. Retail & Consumer Products,"Manages and optimizes inventory levels, analyzes stock data, and forecasts demand to prevent shortages or excess."
Target,Minnesota,Data Insights Analyst,Retail - Mass Merchandise,8. Retail & Consumer Products,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
Target,Minnesota,Inventory Analyst,Retail - Mass Merchandise,8. Retail & Consumer Products,"Manages and optimizes inventory levels, analyzes stock data, and forecasts demand to prevent shortages or excess."
