Employing Organization,Position Location - State,Job Title,Company Industry (Specific),Industry Group (1 of 10),Job Title Description
Longevity Holdings Inc.,Minnesota,Associate Corporate Counsel,Financial Services - Life Settlements,3. Financial Services & Insurance,A professional entry-to-mid level professional contributing to team objectives in their functional area.
Los Almamos National Laboratory,Minnesota,System Analyst,Government - National Lab,6. Government & Public Service,A professional analytical role focused on examining data and providing insights to support decisions.
Matt Guttman,Minnesota,Legal Assistant,Self-Employed,Other,"A professional support role helping with administrative tasks, scheduling, and organizational duties."
Maxfield Elementary,Minnesota,Teacher,Education - K-12 Public School,5. Education & Academia,"Educates students in academic subjects, develops lesson plans, assesses learning, and creates a positive classroom environment."
Mayo Clinic,Minnesota,Social Worker,Healthcare - Hospital & Research,2. Healthcare & Medical,"Helps individuals and families cope with challenges, connects them with resources, and advocates for their well-being."
Medtronic,Minnesota,Financial analyst,Healthcare - Medical Devices,2. Healthcare & Medical,"Analyzes financial data, creates forecasts, and supports business decision-making through financial modeling and reporting."
Medtronic,Minnesota,Senior Quality Engineer,Healthcare - Medical Devices,2. Healthcare & Medical,"A professional engineering role involving design, analysis, and problem-solving in a technical domain."
Michael Baker International,Wisconsin,Highway Designer,Engineering - Infrastructure,"10. Construction, Engineering & Real Estate","A professional creative role focused on designing visual, user experience, or product solutions."
Michaud Cooley Erickson,Minnesota,Electrical Designer,Engineering - MEP,"10. Construction, Engineering & Real Estate","A professional creative role focused on designing visual, user experience, or product solutions."
Michaud Cooley Erickson,Minnesota,Electrical Designer/EIT,Engineering - MEP,"10. Construction, Engineering & Real Estate","A professional creative role focused on designing visual, user experience, or product solutions."
Microsoft,Texas,Senior Product Engineer,Technology - Software & Cloud,1. Technology & Software,"A professional engineering role involving design, analysis, and problem-solving in a technical domain."
Midwest Veterinary Supply,Minnesota,Full Stack Developer,Healthcare - Veterinary Supply,2. Healthcare & Medical,A professional technical role focused on building and coding software applications or systems.
Millboard,,,Manufacturing - Decking,4. Manufacturing & Industrial,
Minneapolis Public Schools,Minnesota,5th Grade Teacher,Education - K-12 Public School,5. Education & Academia,A professional educational role focused on teaching and mentoring students.
Minnesota Department of Human Services,Minnesota,Clinical Program Therapist,Government - State Social Services,6. Government & Public Service,A professional clinical role providing therapeutic treatment for physical or mental health conditions.
Minnesota Lynx,Minnesota,Sales and Service Associate,Entertainment - Professional Sports,8. Retail & Consumer Products,A professional entry-to-mid level professional contributing to team objectives in their functional area.
Minnesota Timberwolves,Minnesota,Business Development Account Executive,Entertainment - Professional Sports,8. Retail & Consumer Products,A professional senior leadership role with strategic decision-making authority.
Minnesota Twins,Minnesota,HR Intern,Entertainment - Professional Sports,8. Retail & Consumer Products,A professional temporary learning position for students or recent graduates to gain professional experience.
Minnesota Vikings,Wisconsin,Ticket Sales & Services Associate,Entertainment - Professional Sports,8. Retail & Consumer Products,A professional entry-to-mid level professional contributing to team objectives in their functional area.
MM PRTNRS.,Minnesota,US Commercial Partnerships Representative,Marketing - Agency,7. Professional Services & Consulting,A professional role serving as a point of contact between an organization and its clients or partners.
MN Twins,Minnesota,Special Events and Events Intern,Entertainment - Professional Sports,8. Retail & Consumer Products,A professional temporary learning position for students or recent graduates to gain professional experience.
Morgan Stanley,Minnesota,Service Associate,Financial Services - Investment Banking,3. Financial Services & Insurance,A professional entry-to-mid level professional contributing to team objectives in their functional area.
MPS,Minnesota,Teacher,Education - K-12 Public School,5. Education & Academia,"Educates students in academic subjects, develops lesson plans, assesses learning, and creates a positive classroom environment."
National Grid,Minnesota,Information Technology Intern,Energy - Electric & Gas Utility,9. Energy & Utilities,A professional temporary learning position for students or recent graduates to gain professional experience.
NEON by Battelle,california,Lead Field Technician,Nonprofit - Ecological Research,6. Government & Public Service,"A professional hands-on technical role maintaining, repairing, or operating equipment and systems."
New Beginnigs Emotional wellness And Holistic Therapies,Minnesota,Therapiest,Healthcare - Holistic Therapy,2. Healthcare & Medical,A specialized professional role. (Description not available - requires further research.)
NorthRock Partners,Minnesota,"Associate, Operations",Financial Services - Wealth Management,3. Financial Services & Insurance,A professional entry-to-mid level professional contributing to team objectives in their functional area.
Northwestern Mutual,Wisconsin,Actuarial Specialist,Financial Services - Life Insurance & Wealth,3. Financial Services & Insurance,"A professional role with deep expertise in a specific area, providing focused knowledge and skills."
Northwestern Mutual,Minnesota,Associate Financial Representative,Financial Services - Life Insurance & Wealth,3. Financial Services & Insurance,A professional entry-to-mid level professional contributing to team objectives in their functional area.
Nura PA Pain Clinic,Minnesota,Medical Scribe,Healthcare - Pain Management,2. Healthcare & Medical,"Documents patient encounters in real-time, assisting physicians with electronic health record documentation."
